Time Scale,FM01TS,FM02TS,FM03TS,FM04TS,FM05TS,PC01TS,PC02TS,PC03TS,PT01TS,PT02TS,PT03TS,PT04TS,PT05TS,PT06TS,ST01TS,TC01TS,TC02TS,TC03TS,TT01TS
08-29-2009 : 12:24:41.769 PM,15.219827,17.284048,49.318508,322.459381,22.819832,11.892874,12.914230,14.111141,4801.076172,5236.812988,3613.242187,3130.647705,1113.384888,4114.336426,184.489334,75.516373,76.526962,77.087364,0.000000
08-29-2009 : 12:24:41.773 PM,14.643388,17.579063,50.202198,326.334503,22.666981,12.002592,13.018078,14.041733,4840.421875,5211.780762,3655.157471,1909.837158,4165.530273,3035.194580,182.610413,75.466858,76.489388,76.969124,0.000000
08-29-2009 : 12:24:41.777 PM,15.070442,17.564322,50.465565,327.235504,22.910963,11.985567,13.002980,14.136308,4841.649902,5243.583984,3638.196289,2157.456299,2487.479736,167.198975,188.033844,75.488083,76.407951,77.082039,0.000000
08-29-2009 : 12:24:41.781 PM,15.354019,17.412834,50.467140,322.957275,22.831036,12.214425,13.120893,14.296802,4811.185059,5270.776367,3681.036865,4421.667969,2662.978760,2068.067871,183.968384,75.545288,76.469208,77.126526,0.000000
08-29-2009 : 12:24:41.785 PM,15.318369,17.548059,50.502270,330.162476,23.004910,12.270497,13.201422,14.179758,4861.749512,5296.703125,3647.553223,2500.967041,1090.730835,4935.404785,189.292130,75.630531,76.604256,77.127739,0.000000
08-29-2009 : 12:24:41.789 PM,15.152926,17.697922,50.821636,328.317047,23.285339,12.212399,13.244364,14.208486,4884.349121,5292.354980,3682.973877,2481.594727,796.485168,5518.961914,185.709671,75.499237,76.391953,76.889603,0.000000
08-29-2009 : 12:24:41.793 PM,15.160056,17.902010,51.098980,325.298248,22.940306,12.227126,13.141008,14.192178,4836.852051,5237.110352,3690.049561,1636.288452,502.788177,438.793152,185.553040,75.562645,76.510735,76.931747,0.000000
08-29-2009 : 12:24:41.797 PM,15.298122,18.071953,49.971672,333.441925,22.941006,12.375655,13.341524,14.094996,4884.949219,5279.412109,3671.334961,2903.474609,1890.311523,1825.602783,186.946594,75.571426,76.445724,77.056190,0.000000
08-29-2009 : 12:24:41.801 PM,15.727769,17.528690,50.358521,329.554321,23.077559,12.259913,13.426565,14.474966,4907.352539,5317.525879,3729.682373,2157.570557,1643.503662,1599.449707,184.159485,75.500412,76.386475,76.998817,0.000000
08-29-2009 : 12:24:41.805 PM,15.350924,18.169384,50.682178,329.135498,23.458752,12.393091,13.381026,14.504861,4865.397461,5312.406250,3843.829102,446.530273,645.378235,881.402527,190.678223,75.489059,76.254608,76.910820,0.000000
08-29-2009 : 12:24:41.809 PM,15.696846,18.249727,50.476501,330.916931,23.024462,12.295880,13.559308,14.464728,4929.193848,5274.561035,3787.646240,1476.605469,1732.777344,1418.428223,185.708435,75.655365,76.594490,77.117249,0.000000
08-29-2009 : 12:24:41.813 PM,15.681541,17.963488,51.007744,331.425598,23.266724,12.455213,13.341766,14.479798,4913.439453,5300.588867,3742.124756,2406.856689,1683.212524,1666.865723,191.115768,75.516113,76.481430,77.054276,0.000000
08-29-2009 : 12:24:41.817 PM,15.937631,18.108217,51.342728,335.133575,23.561262,12.330111,13.468955,14.616493,4907.541016,5326.375488,3820.494385,2876.296631,1519.118408,1477.550537,189.891708,75.778923,76.637154,77.091164,0.000000
